name,id,nametype,recclass,mass..g.,fall,year,reclat,reclong,GeoLocation,Epoch..TDB.,e,i..deg.,w..deg.,Node..deg.,q..AU.,Q..AU.,P..yr.,MOID..AU.,A1..AU.d.2.,A2..AU.d.2.,A3..AU.d.2.,DT..d.,ref,Object_name,crush,avg_speed
Aachen,1,Valid,L5,21,Fell,1880,50.775,6.08333,"(50.775, 6.08333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adhi Kot,379,Valid,EH4,4239,Fell,1919,32.1,71.8,"(32.1, 71.8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agen,392,Valid,H5,30000,Fell,1814,44.21667,0.61667,"(44.21667, 0.61667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 791845,27194,Valid,H6,1559,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 791846,27195,Valid,L4,34.93,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 791847,27196,Valid,L6,6.86,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983166,39788,Valid,R4,3.43,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983168,39790,Valid,H6,15.29,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983174,39796,Valid,H6,8.37,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983175,39797,Valid,H6,7.19,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983176,39798,Valid,H6,5.8,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983178,39800,Valid,H6,6.18,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983179,39801,Valid,H6,6.62,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983180,39802,Valid,H5,7.27,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983187,39809,Valid,H4,50.3,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamato 983190,39812,Valid,L-melt breccia,13.99,Found,1998,0,0,"(0.0, 0.0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
